Key type,Value type,Key cardinality,Algorithm,Parameters,Trial,Number of bits,Build time (s),Serial aggregate time (s)
m,m,100000,AceHash;1;1;1;0,2.5;1,0,6746000,0.00652767,0.771011
m,m,100000,AceHash;1;1;1;0,2.5;1,1,6746000,0.00583871,0.761732
m,m,100000,AceHash;1;1;1;0,2.5;1,2,6746000,0.00582091,0.764025
m,m,100000,AceHash;1;1;1;0,2.5;1,3,6746000,0.00579531,0.764692
m,m,100000,AceHash;1;1;1;0,2.5;1,4,6746000,0.00589767,0.753085
m,m,100000,std::unordered_map,,0,0,0.00659543,3.60976
m,m,100000,std::unordered_map,,1,0,0.00579366,3.60313
m,m,100000,std::unordered_map,,2,0,0.00580577,3.59031
m,m,100000,std::unordered_map,,3,0,0.00579758,3.60648
m,m,100000,std::unordered_map,,4,0,0.00578867,3.60612
m,m,100000,absl::flat_hash_map,,0,0,0.00178107,1.08565
m,m,100000,absl::flat_hash_map,,1,0,0.0014162,1.09067
m,m,100000,absl::flat_hash_map,,2,0,0.00142384,1.09207
m,m,100000,absl::flat_hash_map,,3,0,0.00142919,1.09113
m,m,100000,absl::flat_hash_map,,4,0,0.00143042,1.08939
m,m,100000,BBHash;0,2.000000,0,6774976,0.0158408,5.65499
m,m,100000,BBHash;0,2.000000,1,6774976,0.0143978,5.65527
m,m,100000,BBHash;0,2.000000,2,6774976,0.01452,5.65011
m,m,100000,BBHash;0,2.000000,3,6774976,0.0143486,5.6496
m,m,100000,BBHash;0,2.000000,4,6774976,0.0144277,5.6486
m,m,100000,PTHash;dictionary-dictionary;1,8;0.98,0,6923072,0.0217812,2.23832
m,m,100000,PTHash;dictionary-dictionary;1,8;0.98,1,6923072,0.0216227,2.2318
m,m,100000,PTHash;dictionary-dictionary;1,8;0.98,2,6923136,0.0217463,2.23212
m,m,100000,PTHash;dictionary-dictionary;1,8;0.98,3,6923136,0.0215352,2.23653
m,m,100000,PTHash;dictionary-dictionary;1,8;0.98,4,6923072,0.0215237,2.2364
m,m,100000,DuckDB,,0,0,0,3.00331
m,m,100000,DuckDB,,1,0,0,2.99827
m,m,100000,DuckDB,,2,0,0,2.99786
m,m,100000,DuckDB,,3,0,0,2.99731
m,m,100000,DuckDB,,4,0,0,2.99389
m,h,100000,AceHash;1;1;1;0,2.5;1,0,1147688,0.00591173,0.608491
m,h,100000,AceHash;1;1;1;0,2.5;1,1,1147688,0.00567255,0.608289
m,h,100000,AceHash;1;1;1;0,2.5;1,2,1147688,0.00562111,0.607898
m,h,100000,AceHash;1;1;1;0,2.5;1,3,1147688,0.00556568,0.608221
m,h,100000,AceHash;1;1;1;0,2.5;1,4,1147688,0.00564987,0.60789
m,h,100000,std::unordered_map,,0,0,0.00665028,3.56921
m,h,100000,std::unordered_map,,1,0,0.00649071,3.57122
m,h,100000,std::unordered_map,,2,0,0.00653562,3.56829
m,h,100000,std::unordered_map,,3,0,0.00651285,3.57483
m,h,100000,std::unordered_map,,4,0,0.00651569,3.57026
m,h,100000,absl::flat_hash_map,,0,0,0.00199273,0.972879
m,h,100000,absl::flat_hash_map,,1,0,0.0013518,0.97287
m,h,100000,absl::flat_hash_map,,2,0,0.00135731,0.972685
m,h,100000,absl::flat_hash_map,,3,0,0.00135833,0.971035
m,h,100000,absl::flat_hash_map,,4,0,0.00135422,0.974617
m,h,100000,BBHash;0,2.000000,0,1174976,0.0147549,5.47483
m,h,100000,BBHash;0,2.000000,1,1174976,0.0141677,5.47763
m,h,100000,BBHash;0,2.000000,2,1174976,0.0142649,5.47449
m,h,100000,BBHash;0,2.000000,3,1174976,0.0142136,5.48046
m,h,100000,BBHash;0,2.000000,4,1174976,0.014298,5.47615
m,h,100000,PTHash;dictionary-dictionary;1,8;0.98,0,1208896,0.0218394,2.0021
m,h,100000,PTHash;dictionary-dictionary;1,8;0.98,1,1208832,0.0215977,2.00011
m,h,100000,PTHash;dictionary-dictionary;1,8;0.98,2,1208832,0.0215547,2.00206
m,h,100000,PTHash;dictionary-dictionary;1,8;0.98,3,1208896,0.0214753,2.00124
m,h,100000,PTHash;dictionary-dictionary;1,8;0.98,4,1208832,0.021532,2.00539
m,h,100000,DuckDB,,0,0,0,2.85474
m,h,100000,DuckDB,,1,0,0,2.85455
m,h,100000,DuckDB,,2,0,0,2.85479
m,h,100000,DuckDB,,3,0,0,2.8641
m,h,100000,DuckDB,,4,0,0,2.84852
m,m,200000,AceHash;1;1;1;0,2.5;1,0,13492568,0.0144671,0.976823
m,m,200000,AceHash;1;1;1;0,2.5;1,1,13492568,0.0132242,0.974526
m,m,200000,AceHash;1;1;1;0,2.5;1,2,13492568,0.013241,0.975819
m,m,200000,AceHash;1;1;1;0,2.5;1,3,13492568,0.0131766,0.976033
m,m,200000,AceHash;1;1;1;0,2.5;1,4,13492568,0.0132156,0.977185
m,m,200000,std::unordered_map,,0,0,0.0141821,4.30556
m,m,200000,std::unordered_map,,1,0,0.0132186,4.30889
m,m,200000,std::unordered_map,,2,0,0.013149,4.30505
m,m,200000,std::unordered_map,,3,0,0.0131809,4.31453
m,m,200000,std::unordered_map,,4,0,0.0131329,4.30478
m,m,200000,absl::flat_hash_map,,0,0,0.00598274,1.14289
m,m,200000,absl::flat_hash_map,,1,0,0.00504338,1.14412
m,m,200000,absl::flat_hash_map,,2,0,0.00296751,1.14342
m,m,200000,absl::flat_hash_map,,3,0,0.00296338,1.14388
m,m,200000,absl::flat_hash_map,,4,0,0.00296195,1.14387
m,m,200000,BBHash;0,2.000000,0,13546112,0.0269018,5.90407
m,m,200000,BBHash;0,2.000000,1,13546112,0.0268445,5.90818
m,m,200000,BBHash;0,2.000000,2,13546112,0.0269607,5.90568
m,m,200000,BBHash;0,2.000000,3,13546112,0.0268206,5.90953
m,m,200000,BBHash;0,2.000000,4,13546112,0.0273489,5.93653
m,m,200000,PTHash;dictionary-dictionary;1,8;0.98,0,13799616,0.0453907,2.38637
m,m,200000,PTHash;dictionary-dictionary;1,8;0.98,1,13799488,0.0457245,2.3873
m,m,200000,PTHash;dictionary-dictionary;1,8;0.98,2,13799616,0.045542,2.38269
m,m,200000,PTHash;dictionary-dictionary;1,8;0.98,3,13799488,0.045112,2.3869
m,m,200000,PTHash;dictionary-dictionary;1,8;0.98,4,13799424,0.0452241,2.38726
m,m,200000,DuckDB,,0,0,0,3.67215
m,m,200000,DuckDB,,1,0,0,3.70995
m,m,200000,DuckDB,,2,0,0,3.70415
m,m,200000,DuckDB,,3,0,0,3.66806
m,m,200000,DuckDB,,4,0,0,3.62934
m,h,200000,AceHash;1;1;1;0,2.5;1,0,2295296,0.011802,0.611711
m,h,200000,AceHash;1;1;1;0,2.5;1,1,2295296,0.0108845,0.610374
m,h,200000,AceHash;1;1;1;0,2.5;1,2,2295296,0.01086,0.610872
m,h,200000,AceHash;1;1;1;0,2.5;1,3,2295296,0.0108378,0.607921
m,h,200000,AceHash;1;1;1;0,2.5;1,4,2295296,0.0108494,0.606708
m,h,200000,std::unordered_map,,0,0,0.0134853,4.2474
m,h,200000,std::unordered_map,,1,0,0.0134878,4.26702
m,h,200000,std::unordered_map,,2,0,0.0134696,4.22622
m,h,200000,std::unordered_map,,3,0,0.0134807,4.27185
m,h,200000,std::unordered_map,,4,0,0.0134624,4.20865
m,h,200000,absl::flat_hash_map,,0,0,0.00418945,1.03853
m,h,200000,absl::flat_hash_map,,1,0,0.00278556,1.04751
m,h,200000,absl::flat_hash_map,,2,0,0.00278289,1.04019
m,h,200000,absl::flat_hash_map,,3,0,0.0028003,1.04064
m,h,200000,absl::flat_hash_map,,4,0,0.00278066,1.04135
m,h,200000,BBHash;0,2.000000,0,2346112,0.0275862,5.64067
m,h,200000,BBHash;0,2.000000,1,2346112,0.0273093,5.64145
m,h,200000,BBHash;0,2.000000,2,2346112,0.0271656,5.64945
m,h,200000,BBHash;0,2.000000,3,2346112,0.0273579,5.64989
m,h,200000,BBHash;0,2.000000,4,2346112,0.0273377,5.64185
m,h,200000,PTHash;dictionary-dictionary;1,8;0.98,0,2370888,0.0450418,2.03396
m,h,200000,PTHash;dictionary-dictionary;1,8;0.98,1,2370888,0.0456,2.04616
m,h,200000,PTHash;dictionary-dictionary;1,8;0.98,2,2370952,0.0458186,2.03701
m,h,200000,PTHash;dictionary-dictionary;1,8;0.98,3,2370888,0.0448016,2.03775
m,h,200000,PTHash;dictionary-dictionary;1,8;0.98,4,2371016,0.0445671,2.03692
m,h,200000,DuckDB,,0,0,0,3.21553
m,h,200000,DuckDB,,1,0,0,3.18444
m,h,200000,DuckDB,,2,0,0,3.20896
m,h,200000,DuckDB,,3,0,0,3.24377
m,h,200000,DuckDB,,4,0,0,3.2601
m,m,500000,AceHash;1;1;1;0,2.5;1,0,33734824,0.034541,1.02177
m,m,500000,AceHash;1;1;1;0,2.5;1,1,33734824,0.0297846,1.02724
m,m,500000,AceHash;1;1;1;0,2.5;1,2,33734824,0.0297883,1.02116
m,m,500000,AceHash;1;1;1;0,2.5;1,3,33734824,0.0297441,1.02352
m,m,500000,AceHash;1;1;1;0,2.5;1,4,33734824,0.0297911,1.02486
m,m,500000,std::unordered_map,,0,0,0.0337993,10.4675
m,m,500000,std::unordered_map,,1,0,0.0349129,10.4951
m,m,500000,std::unordered_map,,2,0,0.0350635,10.4941
m,m,500000,std::unordered_map,,3,0,0.0351059,10.4851
m,m,500000,std::unordered_map,,4,0,0.0350676,10.4604
m,m,500000,absl::flat_hash_map,,0,0,0.0249455,2.32068
m,m,500000,absl::flat_hash_map,,1,0,0.0229724,2.32539
m,m,500000,absl::flat_hash_map,,2,0,0.0131543,2.32638
m,m,500000,absl::flat_hash_map,,3,0,0.0130917,2.32556
m,m,500000,absl::flat_hash_map,,4,0,0.0130643,2.3382
m,m,500000,BBHash;0,2.000000,0,33858816,0.0684765,6.11485
m,m,500000,BBHash;0,2.000000,1,33858816,0.0664096,6.10724
m,m,500000,BBHash;0,2.000000,2,33858816,0.0663797,6.11753
m,m,500000,BBHash;0,2.000000,3,33858816,0.0666152,6.11488
m,m,500000,BBHash;0,2.000000,4,33858816,0.0668318,6.12769
m,m,500000,PTHash;dictionary-dictionary;1,8;0.98,0,34517360,0.121452,2.5149
