Experiment,Number of keys,Algorithm,Parameters,Trial,Number of bits,Construction time (s),Serial evaluation time (s),Parallel evaluation time (s)
1,10000000,AceHash;1;1;1;0,1.5;0.7,0,53333336,0.717938,0.884232,0.094508
1,10000000,AceHash;1;1;1;0,1.5;0.7,1,53333336,0.719134,0.897529,0.0931685
1,10000000,AceHash;1;1;1;0,1.5;0.7,2,53333336,0.719287,0.892419,0.093339
1,10000000,AceHash;1;1;1;0,1.5;0.7,3,53333336,0.719356,0.892841,0.0933707
1,10000000,AceHash;1;1;1;0,1.5;0.7,4,53333336,0.719262,0.891647,0.0932985
1,10000000,AceHash;1;1;1;0,1.5;0.75,0,53333336,0.717515,0.893133,0.093157
1,10000000,AceHash;1;1;1;0,1.5;0.75,1,53333336,0.718908,0.892468,0.0932731
1,10000000,AceHash;1;1;1;0,1.5;0.75,2,53333336,0.719118,0.893089,0.0932762
1,10000000,AceHash;1;1;1;0,1.5;0.75,3,53333336,0.719119,0.893153,0.0932126
1,10000000,AceHash;1;1;1;0,1.5;0.75,4,53333336,0.718999,0.89618,0.0932687
1,10000000,AceHash;1;1;1;0,1.5;0.8,0,53333336,0.71998,0.893234,0.0930482
1,10000000,AceHash;1;1;1;0,1.5;0.8,1,53333336,0.721256,0.892302,0.0930233
1,10000000,AceHash;1;1;1;0,1.5;0.8,2,53333336,0.721421,0.893502,0.0928998
1,10000000,AceHash;1;1;1;0,1.5;0.8,3,53333336,0.721012,0.892793,0.093187
1,10000000,AceHash;1;1;1;0,1.5;0.8,4,53333336,0.722147,0.892014,0.0931752
1,10000000,AceHash;1;1;1;0,1.5;0.85,0,53333376,0.726263,0.89606,0.0933636
1,10000000,AceHash;1;1;1;0,1.5;0.85,1,53333376,0.728083,0.891988,0.0934077
1,10000000,AceHash;1;1;1;0,1.5;0.85,2,53333376,0.728259,0.895569,0.0935065
1,10000000,AceHash;1;1;1;0,1.5;0.85,3,53333376,0.730559,0.892757,0.0929446
1,10000000,AceHash;1;1;1;0,1.5;0.85,4,53333376,0.727654,0.892011,0.0931831
1,10000000,AceHash;1;1;1;0,1.5;0.9,0,53333552,0.738943,0.893401,0.0932542
1,10000000,AceHash;1;1;1;0,1.5;0.9,1,53333552,0.74005,0.892609,0.0931243
1,10000000,AceHash;1;1;1;0,1.5;0.9,2,53333552,0.740275,0.89244,0.0928771
1,10000000,AceHash;1;1;1;0,1.5;0.9,3,53333552,0.74087,0.894872,0.093116
1,10000000,AceHash;1;1;1;0,1.5;0.9,4,53333552,0.739512,0.892959,0.0932137
1,10000000,AceHash;1;1;1;0,1.5;0.95,0,53363904,0.758939,0.895797,0.0931279
1,10000000,AceHash;1;1;1;0,1.5;0.95,1,53363904,0.759993,0.89274,0.0931166
1,10000000,AceHash;1;1;1;0,1.5;0.95,2,53363904,0.761077,0.893556,0.0936636
1,10000000,AceHash;1;1;1;0,1.5;0.95,3,53363904,0.763337,0.892859,0.0932551
1,10000000,AceHash;1;1;1;0,1.5;0.95,4,53363904,0.760839,0.894062,0.0935135
1,10000000,AceHash;1;1;1;0,1.5;1,0,55709232,0.815551,0.933612,0.0961516
1,10000000,AceHash;1;1;1;0,1.5;1,1,55709232,0.816735,0.935461,0.0960033
1,10000000,AceHash;1;1;1;0,1.5;1,2,55709232,0.818094,0.93671,0.0963112
1,10000000,AceHash;1;1;1;0,1.5;1,3,55709232,0.816461,0.939853,0.0960635
1,10000000,AceHash;1;1;1;0,1.5;1,4,55709232,0.816992,0.934315,0.0961375
1,10000000,AceHash;1;1;1;0,2;0.7,0,40000000,0.681092,0.862055,0.0905713
1,10000000,AceHash;1;1;1;0,2;0.7,1,40000000,0.681027,0.8639,0.0906479
1,10000000,AceHash;1;1;1;0,2;0.7,2,40000000,0.681476,0.862369,0.0906689
1,10000000,AceHash;1;1;1;0,2;0.7,3,40000000,0.682036,0.862935,0.0906373
1,10000000,AceHash;1;1;1;0,2;0.7,4,40000000,0.682962,0.861759,0.0906882
1,10000000,AceHash;1;1;1;0,2;0.75,0,40000000,0.680646,0.863571,0.0906884
1,10000000,AceHash;1;1;1;0,2;0.75,1,40000000,0.682147,0.867158,0.0907747
1,10000000,AceHash;1;1;1;0,2;0.75,2,40000000,0.683119,0.866015,0.0907718
1,10000000,AceHash;1;1;1;0,2;0.75,3,40000000,0.683128,0.861808,0.0906947
1,10000000,AceHash;1;1;1;0,2;0.75,4,40000000,0.683248,0.863014,0.0908156
1,10000000,AceHash;1;1;1;0,2;0.8,0,40000000,0.685607,0.861758,0.0906703
1,10000000,AceHash;1;1;1;0,2;0.8,1,40000000,0.686479,0.86192,0.0906241
1,10000000,AceHash;1;1;1;0,2;0.8,2,40000000,0.688976,0.862871,0.0906347
1,10000000,AceHash;1;1;1;0,2;0.8,3,40000000,0.686723,0.870496,0.0906798
