Number of keys,Algorithm,Trial,Number of bits,Construction time (s),Serial evaluation time (s),Parallel evaluation time (s)
10000000,AceHash;1.5;0.7;0;0;0;0,0,53333336,3.63902,0.111236,0.0121282
10000000,AceHash;1.5;0.7;0;0;0;0,1,53333336,3.63426,0.10688,0.011463
10000000,AceHash;1.5;0.7;0;0;0;0,2,53333336,3.63115,0.106803,0.011458
10000000,AceHash;1.5;0.7;0;0;0;0,3,53333336,3.63739,0.106869,0.0114436
10000000,AceHash;1.5;0.7;0;0;0;0,4,53333336,3.63489,0.107138,0.0114634
10000000,AceHash;1.5;0.7;1;0;0;0,0,53333336,1.03394,0.106383,0.0111766
10000000,AceHash;1.5;0.7;1;0;0;0,1,53333336,1.03502,0.106411,0.0111587
10000000,AceHash;1.5;0.7;1;0;0;0,2,53333336,1.04163,0.106652,0.011186
10000000,AceHash;1.5;0.7;1;0;0;0,3,53333336,1.03674,0.10639,0.0111726
10000000,AceHash;1.5;0.7;1;0;0;0,4,53333336,1.03619,0.106326,0.0111669
10000000,AceHash;1.5;0.7;1;1;0;0,0,53333336,0.708035,0.120645,0.0125771
10000000,AceHash;1.5;0.7;1;1;0;0,1,53333336,0.708679,0.120687,0.0125751
10000000,AceHash;1.5;0.7;1;1;0;0,2,53333336,0.71113,0.121234,0.0125419
10000000,AceHash;1.5;0.7;1;1;0;0,3,53333336,0.70887,0.120634,0.0125766
10000000,AceHash;1.5;0.7;1;1;0;0,4,53333336,0.709502,0.120691,0.0125919
10000000,AceHash;1.5;0.7;1;1;1;0,0,53333336,0.707473,0.0827907,0.00867733
10000000,AceHash;1.5;0.7;1;1;1;0,1,53333336,0.708181,0.0832789,0.00866121
10000000,AceHash;1.5;0.7;1;1;1;0,2,53333336,0.706412,0.0834797,0.00861159
10000000,AceHash;1.5;0.7;1;1;1;0,3,53333336,0.710214,0.0833461,0.00862812
10000000,AceHash;1.5;0.7;1;1;1;0,4,53333336,0.707677,0.0833722,0.00865875
10000000,AceHash;1.5;0.7;1;1;1;1,0,53333336,0.168194,0.0836899,0.00863266
10000000,AceHash;1.5;0.7;1;1;1;1,1,53333336,0.168565,0.0834141,0.0086169
10000000,AceHash;1.5;0.7;1;1;1;1,2,53333336,0.18758,0.0826007,0.00867506
10000000,AceHash;1.5;0.7;1;1;1;1,3,53333336,0.187806,0.0831783,0.00865375
10000000,AceHash;1.5;0.7;1;1;1;1,4,53333336,0.188088,0.0842688,0.00872174
10000000,AceHash;1.5;0.75;0;0;0;0,0,53333336,3.68697,0.107101,0.0114446
10000000,AceHash;1.5;0.75;0;0;0;0,1,53333336,3.68171,0.107433,0.0114456
10000000,AceHash;1.5;0.75;0;0;0;0,2,53333336,3.69794,0.107279,0.0116545
10000000,AceHash;1.5;0.75;0;0;0;0,3,53333336,3.69285,0.107086,0.0114538
10000000,AceHash;1.5;0.75;0;0;0;0,4,53333336,3.69303,0.107063,0.0114493
10000000,AceHash;1.5;0.75;1;0;0;0,0,53333336,1.09605,0.106627,0.01119
10000000,AceHash;1.5;0.75;1;0;0;0,1,53333336,1.09596,0.1067,0.0113189
10000000,AceHash;1.5;0.75;1;0;0;0,2,53333336,1.10175,0.106865,0.0112198
10000000,AceHash;1.5;0.75;1;0;0;0,3,53333336,1.09952,0.106939,0.0111978
10000000,AceHash;1.5;0.75;1;0;0;0,4,53333336,1.09854,0.106604,0.0111716
10000000,AceHash;1.5;0.75;1;1;0;0,0,53333336,0.727828,0.120696,0.0125628
10000000,AceHash;1.5;0.75;1;1;0;0,1,53333336,0.724952,0.119912,0.0125584
10000000,AceHash;1.5;0.75;1;1;0;0,2,53333336,0.72393,0.12005,0.0125647
10000000,AceHash;1.5;0.75;1;1;0;0,3,53333336,0.724903,0.120765,0.0125597
10000000,AceHash;1.5;0.75;1;1;0;0,4,53333336,0.724355,0.120736,0.0125649
10000000,AceHash;1.5;0.75;1;1;1;0,0,53333336,0.723302,0.0834142,0.00866392
10000000,AceHash;1.5;0.75;1;1;1;0,1,53333336,0.724252,0.0833255,0.00862965
10000000,AceHash;1.5;0.75;1;1;1;0,2,53333336,0.729396,0.082836,0.00863157
10000000,AceHash;1.5;0.75;1;1;1;0,3,53333336,0.724439,0.083334,0.00870857
10000000,AceHash;1.5;0.75;1;1;1;0,4,53333336,0.724824,0.0833437,0.00862976
10000000,AceHash;1.5;0.75;1;1;1;1,0,53333336,0.187969,0.0832613,0.00868089
