Trial,Alpha,Algorithm,Time (s)
0,0.01,Conventional,0.214149
0,0.01,AceHash,0.201186
1,0.01,Conventional,0.215509
1,0.01,AceHash,0.201782
2,0.01,Conventional,0.215977
2,0.01,AceHash,0.201764
3,0.01,Conventional,0.216116
3,0.01,AceHash,0.202826
4,0.01,Conventional,0.215992
4,0.01,AceHash,0.201727
0,0.02,Conventional,0.203705
0,0.02,AceHash,0.177778
1,0.02,Conventional,0.206001
1,0.02,AceHash,0.178131
2,0.02,Conventional,0.206328
2,0.02,AceHash,0.177902
3,0.02,Conventional,0.206189
3,0.02,AceHash,0.177738
4,0.02,Conventional,0.205792
4,0.02,AceHash,0.1782
0,0.03,Conventional,0.197534
0,0.03,AceHash,0.164399
1,0.03,Conventional,0.198569
1,0.03,AceHash,0.164491
2,0.03,Conventional,0.19807
2,0.03,AceHash,0.164568
3,0.03,Conventional,0.198496
3,0.03,AceHash,0.164544
4,0.03,Conventional,0.19817
4,0.03,AceHash,0.164451
0,0.04,Conventional,0.190743
0,0.04,AceHash,0.15825
1,0.04,Conventional,0.192311
1,0.04,AceHash,0.158198
2,0.04,Conventional,0.192436
2,0.04,AceHash,0.158179
3,0.04,Conventional,0.192239
3,0.04,AceHash,0.158623
4,0.04,Conventional,0.192162
4,0.04,AceHash,0.15836
0,0.05,Conventional,0.186171
0,0.05,AceHash,0.154042
1,0.05,Conventional,0.188019
1,0.05,AceHash,0.154078
2,0.05,Conventional,0.188102
2,0.05,AceHash,0.153982
3,0.05,Conventional,0.188098
3,0.05,AceHash,0.15408
4,0.05,Conventional,0.188442
4,0.05,AceHash,0.15407
0,0.06,Conventional,0.183442
0,0.06,AceHash,0.149637
1,0.06,Conventional,0.185018
1,0.06,AceHash,0.149484
2,0.06,Conventional,0.184859
2,0.06,AceHash,0.14932
3,0.06,Conventional,0.185519
3,0.06,AceHash,0.149675
4,0.06,Conventional,0.184841
4,0.06,AceHash,0.149409
0,0.07,Conventional,0.181662
0,0.07,AceHash,0.146455
1,0.07,Conventional,0.182374
1,0.07,AceHash,0.14644
2,0.07,Conventional,0.182371
2,0.07,AceHash,0.146409
3,0.07,Conventional,0.182252
3,0.07,AceHash,0.146648
4,0.07,Conventional,0.182137
4,0.07,AceHash,0.146452
0,0.08,Conventional,0.179182
0,0.08,AceHash,0.143813
1,0.08,Conventional,0.179909
1,0.08,AceHash,0.143766
2,0.08,Conventional,0.180473
2,0.08,AceHash,0.143794
3,0.08,Conventional,0.180142
3,0.08,AceHash,0.143811
4,0.08,Conventional,0.180356
4,0.08,AceHash,0.143809
0,0.09,Conventional,0.177627
0,0.09,AceHash,0.141567
1,0.09,Conventional,0.178734
1,0.09,AceHash,0.141583
2,0.09,Conventional,0.178374
2,0.09,AceHash,0.141731
3,0.09,Conventional,0.178289
3,0.09,AceHash,0.14157
4,0.09,Conventional,0.178246
4,0.09,AceHash,0.14187
0,0.1,Conventional,0.175721
0,0.1,AceHash,0.14113
1,0.1,Conventional,0.177242
1,0.1,AceHash,0.139512
2,0.1,Conventional,0.177539
2,0.1,AceHash,0.139666
3,0.1,Conventional,0.177303
3,0.1,AceHash,0.139848
4,0.1,Conventional,0.177948
4,0.1,AceHash,0.140641
0,0.11,Conventional,0.174713
0,0.11,AceHash,0.137612
1,0.11,Conventional,0.175584
1,0.11,AceHash,0.137458
2,0.11,Conventional,0.175537
2,0.11,AceHash,0.137536
3,0.11,Conventional,0.175899
3,0.11,AceHash,0.137509
4,0.11,Conventional,0.176061
4,0.11,AceHash,0.137434
0,0.12,Conventional,0.17368
0,0.12,AceHash,0.135623
1,0.12,Conventional,0.173894
1,0.12,AceHash,0.135709
2,0.12,Conventional,0.173906
2,0.12,AceHash,0.135607
3,0.12,Conventional,0.174724
3,0.12,AceHash,0.135789
4,0.12,Conventional,0.174084
4,0.12,AceHash,0.135693
0,0.13,Conventional,0.171975
0,0.13,AceHash,0.13497
