Key type,Value type,Number of keys,Algorithm,Parameters,Trial,Number of bits,Construction time (s),Serial evaluation time (s),Parallel evaluation time (s)
m,m,100000,AceHash;1;1;1;0,2.5;1,0,6746000,0.00583064,0.780044,0.0903377
m,m,100000,AceHash;1;1;1;0,2.5;1,1,6746000,0.00613929,0.787178,0.0873384
m,m,100000,AceHash;1;1;1;0,2.5;1,2,6746000,0.00592808,0.790708,0.0875338
m,m,100000,AceHash;1;1;1;0,2.5;1,3,6746000,0.00593722,0.79354,0.0874297
m,m,100000,AceHash;1;1;1;0,2.5;1,4,6746000,0.00607707,0.790973,0.0874168
m,m,100000,std::unordered_map,,0,0,0.00807513,3.39296,0.260691
m,m,100000,std::unordered_map,,1,0,0.00718275,3.38302,0.261073
m,m,100000,std::unordered_map,,2,0,0.00725308,3.38751,0.2608
m,m,100000,std::unordered_map,,3,0,0.00715761,3.38319,0.260221
m,m,100000,std::unordered_map,,4,0,0.00715993,3.38185,0.260348
m,m,100000,absl::flat_hash_map,,0,0,0.0027628,0.868462,0.0969829
m,m,100000,absl::flat_hash_map,,1,0,0.00270235,0.872569,0.0975743
m,m,100000,absl::flat_hash_map,,2,0,0.00182347,0.870405,0.0973131
m,m,100000,absl::flat_hash_map,,3,0,0.00182054,0.870166,0.0971789
m,m,100000,absl::flat_hash_map,,4,0,0.00180899,0.870667,0.0971959
m,m,100000,BBHash;0,2.000000,0,6774976,0.0161806,5.08739,0.447675
m,m,100000,BBHash;0,2.000000,1,6774976,0.0151166,5.07877,0.45183
m,m,100000,BBHash;0,2.000000,2,6774976,0.0157675,5.0822,0.454227
m,m,100000,BBHash;0,2.000000,3,6774976,0.0156222,5.08107,0.448233
m,m,100000,BBHash;0,2.000000,4,6774976,0.0152933,5.10514,0.448517
m,m,100000,PTHash;dictionary-dictionary;1,8;0.98,0,6923200,0.0211484,2.10154,0.188873
m,m,100000,PTHash;dictionary-dictionary;1,8;0.98,1,6923008,0.0210538,2.0971,0.189773
m,m,100000,PTHash;dictionary-dictionary;1,8;0.98,2,6923008,0.0208093,2.09907,0.189304
