Key type,Value type,Number of keys,Algorithm,Trial,Number of bits,Construction time (s),Serial evaluation time (s),Parallel evaluation time (s)
m,h,100000,AceHash;4;0.8;1;1;1;0,0,1200792,0.0040554,0.000563352,0.00128507
m,h,100000,AceHash;4;0.8;1;1;1;0,1,1200792,0.00431888,0.000603136,0.000431923
m,h,100000,AceHash;4;0.8;1;1;1;0,2,1200792,0.0042961,0.000559107,0.000463464
m,h,100000,AceHash;4;0.8;1;1;1;0,3,1200792,0.00415234,0.000558589,0.000477052
m,h,100000,AceHash;4;0.8;1;1;1;0,4,1200792,0.00419476,0.000577472,0.000473093
m,h,100000,AceHash;2.5;1;1;1;1;0,0,1146000,0.00568311,0.00059135,0.000496201
m,h,100000,AceHash;2.5;1;1;1;1;0,1,1146000,0.00566681,0.000589524,0.000469635
m,h,100000,AceHash;2.5;1;1;1;1;0,2,1146000,0.00569001,0.000588091,0.000482308
m,h,100000,AceHash;2.5;1;1;1;1;0,3,1146000,0.00564707,0.000611889,0.000473598
m,h,100000,AceHash;2.5;1;1;1;1;0,4,1146000,0.00563957,0.000587601,0.000453571
m,h,100000,std::unordered_map,0,0,0.00709239,0.00223972,0.000726098
m,h,100000,std::unordered_map,1,0,0.00610078,0.002257,0.000703422
m,h,100000,std::unordered_map,2,0,0.00628408,0.00220076,0.000701655
m,h,100000,std::unordered_map,3,0,0.00625139,0.00231226,0.00074139
m,h,100000,std::unordered_map,4,0,0.00614071,0.00220901,0.000703468
m,h,100000,absl::flat_hash_map,0,0,0.00278341,0.00087147,0.000517518
m,h,100000,absl::flat_hash_map,1,0,0.00209844,0.0008566,0.000532142
m,h,100000,absl::flat_hash_map,2,0,0.00185105,0.000859594,0.000501534
m,h,100000,absl::flat_hash_map,3,0,0.00186312,0.000864187,0.000504826
m,h,100000,absl::flat_hash_map,4,0,0.00186816,0.000858004,0.000508941
m,h,100000,VectorMap;0.6,0,21333376,0.00716152,0.00158675,0.000604553
m,h,100000,VectorMap;0.6,1,21333376,0.00552615,0.00157004,0.000595919
m,h,100000,VectorMap;0.6,2,21333376,0.00536256,0.00156832,0.000605206
m,h,100000,VectorMap;0.6,3,21333376,0.00540154,0.00160713,0.000571803
m,h,100000,VectorMap;0.6,4,21333376,0.00537245,0.00157939,0.000627391
m,h,100000,VectorMap;0.7,0,18285824,0.00539301,0.00175714,0.000641301
m,h,100000,VectorMap;0.7,1,18285824,0.00533639,0.00176326,0.000639538
m,h,100000,VectorMap;0.7,2,18285824,0.00532557,0.00175923,0.000620539
m,h,100000,VectorMap;0.7,3,18285824,0.00531168,0.00176267,0.000633411
m,h,100000,VectorMap;0.7,4,18285824,0.00533086,0.00176203,0.0006057
m,h,100000,VectorMap;0.8,0,16000000,0.0053063,0.00191506,0.000646139
m,h,100000,VectorMap;0.8,1,16000000,0.00530401,0.00192092,0.00065225
